Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Measure ID,Question,Answer Description,Patient Survey Star Rating,Patient Survey Star Rating Footnote,Answer Percent,Answer Percent Footnote,Linear Mean Value,Number of Completed Surveys,Number of Completed Surveys Footnote,Survey Response Rate Percent,Survey Response Rate Percent Footnote,Measure Start Date,Measure End Date,Location
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,H_CLEAN_HSP_A_P,"Patients who reported that their room and bathroom were ""Always"" clean","Room was ""always"" clean",Not Applicable,,63,,Not Applicable,506,,21,,07/01/17,06/30/2018,"1108 ROSS CLARK CIRCLE DOTHAN, AL 36301 (31.214058, -85.361725)"
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,H_CLEAN_HSP_SN_P,"Patients who reported that their room and bathroom were ""Sometimes"" or ""Never"" clean","Room was ""sometimes"" or ""never"" clean",Not Applicable,,13,,Not Applicable,506,,21,,07/01/17,06/30/2018,"1108 ROSS CLARK CIRCLE DOTHAN, AL 36301 (31.214058, -85.361725)"
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,H_CLEAN_HSP_U_P,"Patients who reported that their room and bathroom were ""Usually"" clean","Room was ""usually"" clean",Not Applicable,,24,,Not Applicable,506,,21,,07/01/17,06/30/2018,"1108 ROSS CLARK CIRCLE DOTHAN, AL 36301 (31.214058, -85.361725)"
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,H_CLEAN_LINEAR_SCORE,Cleanliness - linear mean score,Cleanliness - linear mean score,Not Applicable,,Not Applicable,,83,506,,21,,07/01/17,06/30/2018,"1108 ROSS CLARK CIRCLE DOTHAN, AL 36301 (31.214058, -85.361725)"
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,H_CLEAN_STAR_RATING,Cleanliness - star rating,Cleanliness - star rating,2,,Not Applicable,,Not Applicable,506,,21,,07/01/17,06/30/2018,"1108 ROSS CLARK CIRCLE DOTHAN, AL 36301 (31.214058, -85.361725)"
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,70,,Not Applicable,506,,21,,07/01/17,06/30/2018,"1108 ROSS CLARK CIRCLE DOTHAN, AL 36301 (31.214058, -85.361725)"
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,H_COMP_1_LINEAR_SCORE,Nurse communication - linear mean score,Nurse communication - linear mean score,Not Applicable,,Not Applicable,,87,506,,21,,07/01/17,06/30/2018,"1108 ROSS CLARK CIRCLE DOTHAN, AL 36301 (31.214058, -85.361725)"
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,H_COMP_1_SN_P,"Patients who reported that their nurses ""Sometimes"" or ""Never"" communicated well","Nurses ""sometimes"" or ""never"" communicated well",Not Applicable,,9,,Not Applicable,506,,21,,07/01/17,06/30/2018,"1108 ROSS CLARK CIRCLE DOTHAN, AL 36301 (31.214058, -85.361725)"
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,H_COMP_1_STAR_RATING,Nurse communication - star rating,Nurse communication - star rating,2,,Not Applicable,,Not Applicable,506,,21,,07/01/17,06/30/2018,"1108 ROSS CLARK CIRCLE DOTHAN, AL 36301 (31.214058, -85.361725)"
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,H_COMP_1_U_P,"Patients who reported that their nurses ""Usually"" communicated well","Nurses ""usually"" communicated well",Not Applicable,,21,,Not Applicable,506,,21,,07/01/17,06/30/2018,"1108 ROSS CLARK CIRCLE DOTHAN, AL 36301 (31.214058, -85.361725)"
